date,store_id,store_region,sku_id,category,our_price,competitor_price,unit_cost,promotion_flag,is_holiday,available_stock,units_sold,stockout_flag
2024-01-01,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.27,10.51,5.49,0,1,76,76,1
2024-01-02,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.01,10.54,5.49,0,1,124,71,0
2024-01-03,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.18,10.53,5.49,0,1,120,32,0
2024-01-04,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.42,10.31,5.49,0,1,77,67,0
2024-01-05,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.69,10.47,5.49,0,0,107,62,0
2024-01-06,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.37,10.48,5.49,0,0,112,61,0
2024-01-07,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.71,10.71,5.49,1,0,110,78,0
2024-01-08,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.72,10.71,5.49,0,0,76,65,0
2024-01-09,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.75,10.76,5.49,0,0,85,42,0
2024-01-10,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.03,10.69,5.49,0,0,81,47,0
2024-01-11,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.27,10.74,5.49,0,0,83,82,0
2024-01-12,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.53,10.74,5.49,0,0,110,61,0
2024-01-13,KUL_01,Kuala Lumpur,SKU_001,Beverages,11.19,10.68,5.49,0,0,87,40,0
2024-01-14,KUL_01,Kuala Lumpur,SKU_001,Beverages,10.43,10.72,5.49,0,0,132,55,0
2024-01-15,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.02,10.75,5.49,1,0,111,92,0
2024-01-16,KUL_01,Kuala Lumpur,SKU_001,Beverages,8.93,10.85,5.49,1,0,99,79,0
2024-01-17,KUL_01,Kuala Lumpur,SKU_001,Beverages,9.79,11.03,5.49,0,0,80,80,1
